30-11-2022-11:45,0.016916793212320345,0.016916793212320345,0.016916793212320345,0.016916793212320345
30-11-2022-11:50,0.01686909531782019,0.016937950099853494,0.01700762,0.01693822180589123
30-11-2022-11:55,0.01692952596186608,0.01692864024606444,0.01699963,0.01695259873597684
30-11-2022-12:00,0.01693065264570824,0.016950679890942292,0.0170245,0.016968610845550177
30-11-2022-12:05,0.01692605867564176,0.01694305012442686,0.01702511,0.01696473960002287
30-11-2022-12:10,0.016926530010909362,0.01695327262420441,0.01702689,0.016968897545037925
30-11-2022-12:15,0.016968897545037925,0.016968897545037925,0.016968897545037925,0.016968897545037925
10-01-2023-12:06,0.016300265084781,0.016323532979793554,0.01632819,0.016317329354858183
10-01-2023-16:03,0.0162925010075847,0.016309443633880087,0.01632303,0.016308324880488265
10-01-2023-16:37,0.01628306209284372,0.016308324880488265,0.01631402,0.016301802324443993
10-01-2023-16:54,0.016305008709977857,0.016301802324443993,0.01632358,0.016310130344807286
10-01-2023-16:56,0.016313647489044278,0.016330659288469482,0.01632358,0.016322628925837922
10-01-2023-17:00,0.016313647489044278,0.01634814329324706,0.01636005,0.016340613594097112
10-01-2023-17:04,0.01631313786696727,0.016346500873967888,0.01636005,0.016339896246978385
